latitude,longitude,price,stars,rating,name,city,country
29.41515856,34.97838882,70,5,3.9,Grand Tala Bay Resort,Aqaba,jordan
29.41216789,34.98147872,263,"""N/A""",4.1,Marina Plaza Tala Bay,Aqaba,jordan
29.40596196,34.98010543,89,5,4.5,Movenpick Resort And Spa Tala Bay Aqaba,Aqaba,jordan
29.39997999,34.96834663,69,3,4.2,Public security hotel and chalets,aqaba,jordan
29.42524764,34.97502186,28,2,3.6,Almarsa Village Dive Resort,Aqaba,jordan
29.4276025,34.97553684,26,3,3.8,Bedouin Garden Village,aqaba,jordan
29.42546281,34.9749313,33,2,3,Darna Divers Village Beach Hotel & Dive Center,Aqaba,jordan
29.42577095,34.97279026,33,2,3.6,Darna Diving Hotel,aqaba,jordan
29.42661572,34.97888036,30,"""N/A""",4.5,summer bay resort,aqaba,jordan
29.42721581,34.98089625,45,2,4.3,Aqaba Diving - Aqaba Adventure Divers,Aqaba,jordan
29.42803814,34.98173833,50,2,4.6,Arab Divers Aqaba,Aqaba,jordan
29.42741584,34.9822742,45,3,4.4,Red Sea Dive Center Hotel & Dive Center,Aqaba,jordan
29.42639347,34.98194247,55,3,4.4,Southern Star Club,aqaba,jordan
29.52066049,35.01004255,56,3,4.3,City Tower Hotel,Aqaba,jordan
29.52456853,35.00943564,40,3,4.2,Yafko Hotel,Aqaba,jordan
29.51728805,35.00238872,23,3,3.6,Aqaba View Hotel,aqaba,jordan
29.51807366,35.00351909,45,"""N/A""",4,Al Amer Hotel Apartments,Aqaba,jordan
29.51838332,35.00217861,120,"""N/A""",4.3,La Riva Hotel,Aqaba,jordan
29.52022895,35.00418112,56,"""N/A""",4.3,City Tower Hotel,Aqaba,jordan
29.52268171,35.00255163,20,"""N/A""",5,Relax House,Aqaba,jordan
29.52465399,35.00294571,25,"""N/A""",3.9,serenity hotel,Aqaba,jordan
29.52513944,35.00280087,22,"""N/A""",4.1,Sea Beach Hotel,Aqaba,jordan
29.52513114,35.00213941,100,3,5,Memories Aicha Luxury Camp,Aqaba,jordan
29.52530607,35.00253011,35,"""N/A""",5,Joar Beach Hotel,Aqaba,jordan
29.52551168,35.00181233,41,"""N/A""",3.8,Nairoukh Hotel,Aqaba,jordan
29.52565601,35.00240243,13,"""N/A""",2.5,Al Deyfa Hotel,Aqaba,jordan
29.52620139,35.00241438,47,"""N/A""",3.1,Crystal Hotel,Aqaba,jordan
29.52540529,35.00653668,28,3,4.2,Taj Hotel,Aqaba,jordan
29.52458674,35.00756844,25,"""N/A""",4,Weekend Hotel Aqaba,Aqaba,jordan
29.52542299,35.01155194,40,"""N/A""",4.9,Jordan Seasons Hotel,Aqaba,jordan
29.52759587,35.00582622,21,2,3.8,Golden Rose Hotel,Aqaba,jordan
29.52865052,35.00526483,20,"""N/A""",4.1,Hotel Prestige,Aqaba,jordan
29.52903907,35.0053031,20,"""N/A""",4.3,Karam House - Aqaba,Aqaba,jordan
29.53039345,35.00652795,20,"""N/A""",4,Amir Palace Hotel - Aqaba,Aqaba,jordan
29.52987168,35.00386136,63,5,4.2,DoubleTree by Hilton Hotel Aqaba,Aqaba,jordan
29.53058217,35.0061707,31,3,4.4,Cedar Hotel,Aqaba,jordan
29.53047116,35.00504793,30,2,3.5,Dweik Hotel 2,Aqaba,jordan
29.5317145,35.00560932,40,3,4.3,Dweik Hotel 3,Aqaba,jordan
